"Apply","Применить"
"Please choose a valid discount amount.","Please choose a valid discount amount."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Пожалуйста, укажите веб-сайт."
"Please specify Customer Groups.","Please specify Customer Groups."
"to","to"
"by","by"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","is"
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","меньше, чем"
"contains","содержит"
"does not contain","does not contain"
"is one of","является одним из"
"is not one of","не является одним из"
"Please choose a condition to add.","Пожалуйста, выберите условие для добавления."
"Add","Добавить"
"Remove","Удалить"
"ALL","ВСЕ"
"ANY","ЛЮБОЙ"
"TRUE","ПРАВДА"
"FALSE","ЛОЖЬ"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Сочетание условий"
"Attribute Set","Набор атрибутов"
"Category","Категория"
"Open Chooser","Открыть окно выбора"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
