"Apply","Anvend"
"Please choose a valid discount amount.","Please choose a valid discount amount."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Angiv en hjemmeside."
"Please specify Customer Groups.","Please specify Customer Groups."
"to","til"
"by","af"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","er"
"is not","er ikke"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","mindre end"
"contains","indeholder"
"does not contain","does not contain"
"is one of","er en af"
"is not one of","is not one of"
"Please choose a condition to add.","Vælg en betingelse som skal tilføjes."
"Add","Tilføj"
"Remove","Fjern"
"ALL","ALLE"
"ANY","ENHVER"
"TRUE","SANDT"
"FALSE","FALSK"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Conditions Combination"
"Attribute Set","Attributssæt"
"Category","Kategori"
"Open Chooser","Open Chooser"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
