"Apply","Apstiprināt"
"Please choose a valid discount amount.","Please choose a valid discount amount."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Lūdzu, norādiet tīmekļa vietni."
"Please specify Customer Groups.","Please specify Customer Groups."
"to","līdz"
"by","par"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Veikt sekojošas darbības"
"is","ir"
"is not","nav"
"equals or greater than","vienāds vai lielāks kā"
"equals or less than","vienāds vai mazāks par"
"greater than","lielāks kā"
"less than","mazāk kā"
"contains","satur"
"does not contain","nesatur"
"is one of","ir viens no"
"is not one of","nav viens no"
"Please choose a condition to add.","Izvēlieties noteikumu lai pievienotu."
"Add","Pievienot"
"Remove","Dzēst"
"ALL","VISI"
"ANY","JEBKURŠ"
"TRUE","PAREIZS"
"FALSE","NEAPREIZS"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Noteikumu kombinācija"
"Attribute Set","Atribūtu kopa"
"Category","Kategorija"
"Open Chooser","Atvērt izvēlni"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
