"Apply","Aplicar"
"Please choose a valid discount amount.","Por favor, escolha um valor de desconto válido."
"End Date must follow Start Date.","Data final deve ser posterior à data de início."
"Please specify a website.","Por favor especifique um sítio."
"Please specify Customer Groups.","Por favor especifique Grupos de Cliente."
"to","para"
"by","por"
"Please choose an action to add.","Por favor, escolha uma ação para adicionar."
"Perform following actions","Executar a sequência de acções"
"is","está"
"is not","não está"
"equals or greater than","superior ou igual a"
"equals or less than","inferior ou igual a"
"greater than","superior a"
"less than","inferior a"
"contains","contém"
"does not contain","não contém"
"is one of","é um dos"
"is not one of","não é um dos"
"Please choose a condition to add.","Por favor escolha uma condição para adicionar."
"Add","Adicionar"
"Remove","Eliminar"
"ALL","TODOS"
"ANY","QUALQUER"
"TRUE","VERDADEIRO"
"FALSE","FALSO"
"If %1 of these conditions are %2:","Se %1 destas condições forem %2:"
"Conditions Combination","Combinação de Condições"
"Attribute Set","Conjunto de Atributos"
"Category","Categoria"
"Open Chooser","Abrir o Seletor"
"Unknown condition operator","Operador de condição desconhecido"
"There is no information about associated entity type ""%1"".","Não existe nenhuma informação sobre o tipo de entidade associado ""%1""."
"This won't take long . . .","Isto não vai demorar muito . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
