"Apply","Menerapkan"
"Please choose a valid discount amount.","Silakan pilih jumlah diskon yang valid."
"End Date must follow Start Date.","Tanggal Akhir harus mengikuti Tanggal Mulai."
"Please specify a website.","Silakan tentukan sebuah situs web."
"Please specify Customer Groups.","Silakan tentukan Grup Pelanggan."
"to","untuk"
"by","oleh"
"Please choose an action to add.","Silakan pilih sebuah tindakan untuk ditambahkan."
"Perform following actions","Lakukan tindakan berikut"
"is","adalah"
"is not","tidak"
"equals or greater than","sama atau lebih besar dari"
"equals or less than","sama atau kurang dari"
"greater than","lebih besar dari"
"less than","kurang dari"
"contains","mengandung"
"does not contain","tidak mengandung"
"is one of","adalah salah satu"
"is not one of","bukan salah satunya"
"Please choose a condition to add.","Silakan pilih kondisi untuk ditambahkan."
"Add","Menambahkan"
"Remove","Hapus"
"ALL","SEMUA"
"ANY","APA SAJA"
"TRUE","BENAR"
"FALSE","SALAH"
"If %1 of these conditions are %2:","Jika %1 dari kondisi ini adalah %2:"
"Conditions Combination","Ketentuan Kombinasi"
"Attribute Set","Set Atribut"
"Category","Kategori"
"Open Chooser","Buka pemilih"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","Tidak ada informasi tentang tipe entitas terkait ""%1""."
"This won't take long . . .","Ini tidak akan lama . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
