"Apply","適用"
"Please choose a valid discount amount.","有効なディスカウント額を選択してください。"
"End Date must follow Start Date.","エンドの日はスタートの日より後でなければなりません"
"Please specify a website.","ウェブサイトをしてください。"
"Please specify Customer Groups.","顧客グループを指定してください。"
"to","終了"
"by","より"
"Please choose an action to add.","追加するアクションを選択してください"
"Perform following actions","次のアクションを評価する"
"is","と等しい"
"is not","と等しくない"
"equals or greater than","等しいかそれより大きい"
"equals or less than","等しいかそれより小さい"
"greater than","より大きい"
"less than","より小さい"
"contains","含む"
"does not contain","含まない"
"is one of","のひとつ"
"is not one of","のひとつではない"
"Please choose a condition to add.","追加する条件を選択してください"
"Add","追加"
"Remove","削除"
"ALL","全て"
"ANY","いずれか"
"TRUE","有効"
"FALSE","無効"
"If %1 of these conditions are %2:","もし以下の %1 の条件が %2 であるなら:"
"Conditions Combination","条件の組み合わせ"
"Attribute Set","属性セット"
"Category","カテゴリ"
"Open Chooser","選択を開く"
"Unknown condition operator","不明な条件の使用者"
"There is no information about associated entity type ""%1"".","関連するエンティティタイプ ""%1""に関する情報はありません"
"This won't take long . . .","時間はそこまでかかりません..."
"Please specify valid %1.","正しい %1 を指定してください。"
"is undefined","未定義"
