"Apply","ಅನ್ವಯಿಸಿ"
"Please choose a valid discount amount.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ರಿಯಾಯಿತಿ ಮೊತ್ತವನ್ನು ಆರಿಸಿ."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","ದಯವಿಟ್ಟು ಜಾಲತಾಣವನ್ನು ನಮೂದಿಸಿ."
"Please specify Customer Groups.","ದಯವಿಟ್ಟು ಗ್ರಾಹಕರ ಗುಂಪನ್ನು ನಮೂದಿಸಿ."
"to","ಗೆ"
"by","by"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","is"
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","ಗಿಂತ ಚಿಕ್ಕದು"
"contains","contains"
"does not contain","does not contain"
"is one of","is one of"
"is not one of","is not one of"
"Please choose a condition to add.","Please choose a condition to add."
"Add","ಸೇರಿಸಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"ALL","ಎಲ್ಲಾ"
"ANY","ಯಾವುದೇ"
"TRUE","ನಿಜ"
"FALSE","ಸುಳ್ಳು"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Conditions Combination"
"Attribute Set","Attribute Set"
"Category","ವಿಭಾಗ"
"Open Chooser","Open Chooser"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","ಇದು ಹೆಚ್ಚು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುವುದಿಲ್ಲ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
