"Apply","اعمال"
"Please choose a valid discount amount.","لطفا مقدار تخفیف معتبر را انتخاب کنید."
"End Date must follow Start Date.","تاریخ پایان باید تاریخ شروع را دنبال کند."
"Please specify a website.","لطفا یک وب سایت را مشخص کنید."
"Please specify Customer Groups.","لطفا گروه مشتریان را مشخص کنید."
"to","تا"
"by","توسط"
"Please choose an action to add.","لطفا یک اقدام برای اضافه کردن انتخاب کنید."
"Perform following actions","اجرای کنش‌های زیر"
"is","هست"
"is not","نیست"
"equals or greater than","برابر یا بزرگ‌تر از"
"equals or less than","برابر یا کم‌تر از"
"greater than","بزرگ‌تر از"
"less than","کمتر از"
"contains","شامل"
"does not contain","شامل نیست"
"is one of","هست یکی از"
"is not one of","نیست یکی از"
"Please choose a condition to add.","لطفا یک شرط برای افزودن انتخاب کنید."
"Add","اضافه کردن"
"Remove","برداشتن"
"ALL","همه"
"ANY","هر یک"
"TRUE","درست"
"FALSE","نادرست"
"If %1 of these conditions are %2:","اگر %1 از این شرایط %2 باشد:"
"Conditions Combination","ترکیب شرط‌ها"
"Attribute Set","مجموعه ویژگی"
"Category","دسته بندی"
"Open Chooser","باز کردن انتخاب کننده"
"Unknown condition operator","وضعیت ناشناخته اپراتور"
"There is no information about associated entity type ""%1"".","هیچ اطلاعاتی درباره نوع موجودیت مرتبط ""%1"" وجود ندارد."
"This won't take long . . .","این طول نمی کشد . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
