"Apply","Tillämpa"
"Please choose a valid discount amount.","Vänligen välj ett giltigt rabattbelopp."
"End Date must follow Start Date.","Slutdatum måste följa Startdatum."
"Please specify a website.","Ange en webbplats."
"Please specify Customer Groups.","Vänligen ange kundgrupper."
"to","till"
"by","av"
"Please choose an action to add.","Vänligen välj en åtgärd att lägga till."
"Perform following actions","Utför följande åtgärder"
"is","är"
"is not","är inte"
"equals or greater than","är lika med eller större än"
"equals or less than","är lika med eller mindre än"
"greater than","större än"
"less than","mindre än"
"contains","innehåller"
"does not contain","innehåller inte"
"is one of","är en av"
"is not one of","är inte en av"
"Please choose a condition to add.","Välj ett villkor för att lägga till."
"Add","Lägg till"
"Remove","Ta bort"
"ALL","ALLA"
"ANY","ANY"
"TRUE","Sann"
"FALSE","FALSE"
"If %1 of these conditions are %2:","Om %1 av dessa villkor är %2:"
"Conditions Combination","Villkorskombination"
"Attribute Set","Attributgrupp"
"Category","Kategori"
"Open Chooser","Open Chooser"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
