"Apply","Onayla"
"Please choose a valid discount amount.","Lütfen geçerli iskonto tutarını seçin."
"End Date must follow Start Date.","Bitiş Tarihi Başlangıç Tarihini takip etmelidir."
"Please specify a website.","Lütfen bir web sitesi belirtin."
"Please specify Customer Groups.","Lütfen Müşteri Gruplarını belirtin."
"to","Bit"
"by","tarafından"
"Please choose an action to add.","Lütfen eklemek için bir eylem seçin."
"Perform following actions","Aşağıdaki işlemleri yap"
"is"," "
"is not"," (değildir) "
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","daha büyük"
"less than","daha küçük"
"contains","içerir"
"does not contain","içermez"
"is one of","bunlardan biri"
"is not one of","bunlardan biri değil"
"Please choose a condition to add.","Lütfen eklemek için bir koşul seçin."
"Add","Ekle"
"Remove","Kaldır"
"ALL","Tümü"
"ANY","Herhangi biri"
"TRUE","DOĞRU"
"FALSE","YANLIŞ"
"If %1 of these conditions are %2:","Eğer bu koşullardan %1 kadarı %2 ise:"
"Conditions Combination","Koşullar listesi"
"Attribute Set","Özellik Seti"
"Category","Kategori"
"Open Chooser","Seçimi Aç"
"Unknown condition operator","Bilinmeyen koşul operatörü"
"There is no information about associated entity type ""%1"".","İlişkili varlık türü ""%1"" hakkında hiçbir bilgi yok."
"This won't take long . . .","Uzun sürmeyecek. . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
