"Apply","Použít"
"Please choose a valid discount amount.","Zvolte prosím platnou částku slevy."
"End Date must follow Start Date.","Datum ukončení musí následovat po datu zahájení."
"Please specify a website.","Zvolte web prosím."
"Please specify Customer Groups.","Zvolte skupiny zákazníků prosím."
"to","do"
"by","od"
"Please choose an action to add.","Zvolte činnost prosím."
"Perform following actions","Proveďte následující kroky"
"is","je"
"is not","není"
"equals or greater than","je rovno nebo větší než"
"equals or less than","je rovno nebo menší než"
"greater than","je větší než"
"less than","je menší než"
"contains","obsahuje"
"does not contain","neobsahuje"
"is one of","je jedním z"
"is not one of","není jedním z"
"Please choose a condition to add.","Zvolte podmínku prosím."
"Add","Přidat"
"Remove","Odstranit"
"ALL","VŠECHNY"
"ANY","NĚKTERÉ"
"TRUE","PLATNÉ"
"FALSE","NEPLATNÉ"
"If %1 of these conditions are %2:","Pokud %1 z těchto podmínek jsou %2:"
"Conditions Combination","Kombinace podmínek"
"Attribute Set","Sada atributů"
"Category","Kategorie"
"Open Chooser","Otevřít výběr"
"Unknown condition operator","Neznámý operátor podmínky"
"There is no information about associated entity type ""%1"".","Nejsou žádné informace o přiřazeném typu entity ""%1""."
"This won't take long . . .","Nebude to dlouho trvat . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
