"Quick Order","Snel bestellen"
"Page not found.","Pagina niet gevonden."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Get geüploade CSV bestand bevat geen kolom met het label SKU. Controleer of de eerste kolom het label SKU bevat en dat elke regel in het bestand een SKU waarde bevat."
"You should correct the quantity for the product.","Corrigeer het aantal van het product."
"The SKU is out of stock.","Het artikelnummer is niet op voorraad."
"We don't have the quantity you requested.","We hebben niet de door u gevraagde hoeveelheid."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Exception message","Exception message"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Het bestand kon niet worden geüpload omdat het het het verkeerde format bevat. Gebruik een CSV bestand om te uploaden."
"Add from File","Van bestand toevoegen"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Bestand moet in .csv formaat zijn en ""SKU"" en ""QTY"" kolommen bevatten"
"Choose File","Bestand kiezen"
"Enter Multiple SKUs","Voer meedere artikelnummers in"
"Use commas or paragraph to separate SKUs.","Gebruik komma's of paragrafen om SKU's van elkaar te scheiden."
"Add to List","Toevoegen aan Lijst"
"Order by SKU","Bestel via art.nr."
"Enter SKU or Product Name","Voer artikelnummer of productnaam in"
"Qty","Aantal"
"Add to Cart","In Winkelwagen"
"Remove Row","Rij verwijderen"
" product(s) require(s) your attention."," product(en) vereisen uw aandacht."
"Enable Quick Order","Schakel snel bestellen in"
"Download Sample","Download voorbeeld"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
