"Quick Order","سفارش سریع"
"Page not found.","صفحه یافت نشد."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","فایل CSV بارگذاری شده ستونی با برچسب کد محصول ندارد. اطمینان حاصل کنید که ستون اول دارای برچسب کد محصول بوده و هر سطر فایل دارای مقدار کد محصول باشد. سپس دوباره بارگذاری نمایید."
"You should correct the quantity for the product.","شما باید تعداد محصول را اصلاح کنید."
"The SKU is out of stock.","کد محصول خارج از موجودی است."
"We don't have the quantity you requested.","تعداد درخواستی شما موجود نیست."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Exception message","Exception message"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","فایل نمی تواند بارگذاری شود چون فرمت آن اشتباه است. لطفا یک فایل CSV برای بارگذاری انتخاب کنید."
"Add from File","افزودن از فایل"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","فایل باید ب فرمت .csv بوده و شامل ستون های ""کد محصول"" و ""تعداد"" باشد"
"Choose File","انتخاب فایل"
"Enter Multiple SKUs","چند کد محصول وارد کنید"
"Use commas or paragraph to separate SKUs.","برای جدا کردن کدهای محصول از کاما یا پاراگراف استفاده کنید."
"Add to List","افزودن به لیست"
"Order by SKU","سفارش از طریق کد محصول"
"Enter SKU or Product Name","کد محصول یا نام محصول را وارد کنید"
"Qty","تعداد"
"Add to Cart","اضافه کردن به سبد خرید"
"Remove Row","حذف ردیف"
" product(s) require(s) your attention."," محصول(ها) نیاز به بازبینی دارد."
"Enable Quick Order","فعالسازی سفارش سریع"
"Download Sample","دانلود نمونه"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
