"Quick Order","Ordine Veloce"
"Page not found.","Pagina non trovata."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Il CSV caricato non contiene la colonna SKU. Assicurati che la prima colonna sia denominata SKU e che ogni riga del file contenga un valore di SKU. Poi carica nuovamente il file."
"You should correct the quantity for the product.","Devi correggere la quantità del prodotto."
"The SKU is out of stock.","Lo SKU non è disponibile."
"We don't have the quantity you requested.","Non disponiamo della quantità che hai richiesto."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Exception message","Exception message"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Il file non può essere caricato perché ha un formato errato. Per favore seleziona e carica un file CSV."
"Add from File","Aggiungi da File"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Il formato del file deve essere .csv e includere le colonne ""SKU"" e ""QTY"""
"Choose File","Scegli file"
"Enter Multiple SKUs","Inserisci più SKU"
"Use commas or paragraph to separate SKUs.","Usa la virgola o invio per separare gli SKU."
"Add to List","Aggiungi alla lista"
"Order by SKU","Ordina tramite SKU"
"Enter SKU or Product Name","Inserisci SKU o Nome Prodotto"
"Qty","Qtà"
"Add to Cart","Aggiungi al Carrello"
"Remove Row","Rimuovi riga"
" product(s) require(s) your attention."," prodotti richiedono la tua attenzione."
"Enable Quick Order","Abilita Ordine Veloce"
"Download Sample","Scarica esempio"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
