"Quick Order","Быстрый заказ"
"Page not found.","Страница не найдена."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Загруженный файл CSV не содержит столбец с меткой SKU. Убедитесь, что первый столбец обозначен как SKU и, что каждая строка в файле содержит значение SKU. Затем загрузите файл снова."
"You should correct the quantity for the product.","Вы должны исправить количество товара."
"The SKU is out of stock.","Артикул отсутствует на складе."
"We don't have the quantity you requested.","У нас нет запрошенного вами количества."
"An error occurred. For details, see the error log.","Произошла ошибка. Подробности смотрите в журнале ошибок."
"Exception message","Сообщение об ошибке"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Файл не может быть загружен, так как имеет неверный формат. Пожалуйста, выберите для загрузки файл в формате CSV."
"Add from File","Добавить из файла"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Файл должен быть в формате .csv и содержать колонки ""SKU"" и ""QTY"""
"Choose File","Выберите файл"
"Enter Multiple SKUs","Введите несколько артикулов"
"Use commas or paragraph to separate SKUs.","Используйте запятые или перенос строчки для разделения артикулов."
"Add to List","Добавить в список"
"Order by SKU","Сортировать по SKU"
"Enter SKU or Product Name","Введите артикул или название товара"
"Qty","Кол-во"
"Add to Cart","Добавить в корзину"
"Remove Row","Удалить строку"
" product(s) require(s) your attention."," продукт(ы) требует(ют) вашего внимания."
"Enable Quick Order","Включить быстрый заказ"
"Download Sample","Скачать пример"
"Sorry, something went wrong. You can find out more in the error log.","Извините, что-то пошло не так. Вы можете узнать подробности в журнале ошибок."
