"Quick Order","Бърза поръчка"
"Page not found.","Страницата не е намерена."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Каченият CSV файл не съдържа колона с етикетирани SKU. Уверете се, че първата колона е етикетирани SKU и че всеки ред във файла съдържа стойност на SKU. След това качите файла отново."
"You should correct the quantity for the product.","Трябва да коригирате количеството на продукта."
"The SKU is out of stock.","SKU е изчерпан."
"We don't have the quantity you requested.","Нямаме налично исканото количество."
"An error occurred. For details, see the error log.","Възникна грешка. За подробности вижте в логът за грешките."
"Exception message","Exception message"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Файлът не може да бъде качен, защото е в неправилен формат. Моля изберете CSV файл за качване."
"Add from File","Добавяне от файл"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Файлът трябва да бъде в .csv формат и да включва колоните ""SKU"" и ""Количество"""
"Choose File","Избери файл"
"Enter Multiple SKUs","Въведете няколко SKU"
"Use commas or paragraph to separate SKUs.","Използвайте запетая или точка за разделяне на SKU номерата."
"Add to List","Добави към списъка"
"Order by SKU","Подреди по кат.номер"
"Enter SKU or Product Name","Въведете SKU или име на продукт"
"Qty","Кол-во"
"Add to Cart","Добави в количка"
"Remove Row","Премахни ред"
" product(s) require(s) your attention."," продукт(и) изисква(т) вашето внимание."
"Enable Quick Order","Позволяване на бърза поръчка"
"Download Sample","Изтегляне на пробата"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
