"Quick Order","Compra rápida"
"Page not found.","Página não encontrada."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","O arquivo CSV enviado não contém a coluna SKU. Certifique-se que a primeira coluna é a de SKU e que cada linha do arquivo está preenchida com um valor para o SKU. Em seguida, carregue o arquivo novamente."
"You should correct the quantity for the product.","Você deve corrigir a quantidade do produto."
"The SKU is out of stock.","Não há o SKU em estoque."
"We don't have the quantity you requested.","Não temos a quantidade solicitada."
"An error occurred. For details, see the error log.","Ocorreu um erro. Para mais detalhes, veja o log de erro."
"Exception message","Mensagem de exceção"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","O arquivo não pôde ser carregado porque está no formato incorreto. Por favor, selecione um arquivo CSV para carregar."
"Add from File","Adicionar do arquivo"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Arquivo deve estar no formato .csv e incluir as colunas ""SKU"" e ""QTY"""
"Choose File","Selecione o arquivo"
"Enter Multiple SKUs","Insira Vários SKUs"
"Use commas or paragraph to separate SKUs.","Use vírgulas ou parágrafo para separar SKUs."
"Add to List","Adicionar à Lista"
"Order by SKU","Ordenar por SKU"
"Enter SKU or Product Name","Digite o nome do produto ou o SKU"
"Qty","Qtd"
"Add to Cart","Adicionar ao Carrinho"
"Remove Row","Remover linha"
" product(s) require(s) your attention."," produto(s) requer(em) sua atenção."
"Enable Quick Order","Habilitar compra rápida"
"Download Sample","Baixar Amostra"
"Sorry, something went wrong. You can find out more in the error log.","Desculpe, algo deu errado. Você encontrará mais detalhes no log de erros."
