"Save Review","Αποθήκευση Αξιολόγησης"
"New Review","Νεά Αξιολόγηση"
"Review Details","Λεπτομέρειες Αξιολόγησης"
"Product","Προϊόν"
"Product Rating","Βαθμολογία Προϊόντος"
"Status","Κατάσταση"
"Visibility","Ορατότητα"
"Nickname","Ψευδώνυμο"
"Summary of Review","Περίληψη της Αξιολόγησης"
"Review","Αξιολόγηση"
"Previous","Προηγούμενο"
"Save and Previous","Αποθήκευση και στο Προηγούμενο"
"Save and Next","Αποθήκευση και στο Επόμενο"
"Next","Επόμενο"
"Delete Review","Διαγραφή Αξιολόγησης"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Edit Review '%1'","Επεξεργασία Αξιολόγησης «%1»"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Διαχειριστής"
"Guest","Επισκέπτης"
"Author","Συντάκτης"
"Summary Rating","Περίληψη Βαθμολογίας"
"Detailed Rating","Αναλυτική Βαθμολογία"
"ID","ID"
"Created","Δημιουργήθηκε"
"Title","Τίτλος"
"Type","Τύπος"
"SKU","Κωδικός"
"Action","Ενέργεια"
"Edit","Επεξεργασία"
"Delete","Διαγραφή"
"Are you sure?","Είστε σίγουροι;"
"Update Status","Ενημέρωση Κατάστασης"
"Customer","Πελάτης"
"Pending Reviews of Customer `%1`","Αξιολογήσεις του Πελάτη σε Εκκρεμότητα «%1»"
"Pending Reviews","Αξιολογήσεις σε Εκκρεμότητα"
"All Reviews of Customer `%1`","Όλες οι Αξιολογήσεις του Πελάτη «%1»"
"All Reviews of Product `%1`","Όλες οι Αξιολογήσεις του Προϊόντος «%1»"
"All Reviews","Όλες οι Αξιολογήσεις"
"Name","Όνομα"
"Product Store Name","Όνομα Προϊόντος Καταστήματος"
"Price","Τιμή"
"Quantity","Ποσότητα"
"Websites","Ιστοσελίδες"
"Manage Ratings","Διαχείριση Βαθμολογιών"
"Add New Rating","Προσθέστε Νέα Βαθμολόγηση"
"Save Rating","Αποθήκευση Βαθμολογίας"
"Delete Rating","Διαγραφή Βαθμολογίας"
"Edit Rating #%1","Επεξεργασία Βαθμολογίας #%1"
"New Rating","Νέα Βαθμολόγηση"
"Rating Title","Τίτλος Βαθμολογίας"
"Default Value","Προεπιλεγμένη τιμή"
"Rating Visibility","Ορατότητα Βαθμολογίας"
"Is Active","Είναι Ενεργή"
"Sort Order","Σειρά Ταξινόμησης"
"Rating Information","Πληροφορίες Βαθμολογίας"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Pending product review(s)","Αξιολόγηση(εις) Προϊόντος σε Εκκρεμότητα"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Προϊόν: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Περίληψη της Αξιολόγησης: %1 <br/>"
"Review: %1 <br/>","Αξιολόγηση: %1 <br/>"
"Store: %1 <br/>","Κατάστημα: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Κάντε κλικ <a href=""%1""> εδώ</a> για να δείτε την αξιολόγηση."
"Product: ""%1"" reviewed by: %2","Προϊόν: ""%1"" έχει αξιολογηθεί από: %2"
"Pending Reviews RSS","Αξιολογήσεις σε Εκκρεμότητα RSS"
"Reviews %1","Αξιολογήσεις %1"
"Reviews","Αξιολογήσεις"
"The review has been deleted.","Η αξιολόγηση έχει διαγραφεί."
"Something went wrong  deleting this review.","Κάτι πήγε στραβά κατά τη διαγραφή αυτής της αξιολόγησης."
"Customer Reviews","Αξιολογήσεις Πελατών"
"Edit Review","Επεξεργασία Αξιολόγησης"
"We can't retrieve the product ID.","Δεν είναι δυνατή η ανάκτηση για το ID προϊόντος."
"Please select review(s).","Παρακαλώ επιλέξτε αξιολόγηση(εις)."
"A total of %1 record(s) have been deleted.","Συνολικά %1 εγγραφη(ές) έχουν διαγραφεί."
"Something went wrong while deleting these records.","Κάτι πήγε στραβά κατά τη διαγραφή σε αυτές τις εγγραφές."
"A total of %1 record(s) have been updated.","Συνολικά %1 εγγραφή(ές) έχουν ενημερωθεί."
"Something went wrong while updating these review(s).","Κάτι πήγε στραβά κατά την ενημέρωση αυτής(ων) της(ων) αξιολόγησης(ων)."
"You saved the review.","Αποθηκεύσατε την αξιολόγηση."
"Something went wrong while saving this review.","Κάτι πήγε στραβά κατά την αποθήκευση αυτής της αξιολόγησης."
"The review was removed by another user or does not exist.","Η αξιολόγηση έχει αφαιρεθεί από κάποιον άλλο χρήστη ή δεν υπάρχει."
"You deleted the rating.","Διαγράψατε τη βαθμολογία."
"Ratings","Βαθμολογίες"
"You saved the rating.","Αποθηκεύσατε τη βαθμολογία."
"My Product Reviews","Οι Αξιολογήσεις μου"
"Cannot initialize product","Δεν είναι δυνατή η προετοιμασία προϊόντος"
"You submitted your review for moderation.","Υποβάλατε την αξιολόγησης σας προς έγκριση."
