"Save Review","Guardar análise"
"New Review","Nova análise"
"Review Details","Rever Detalhes"
"Product","Produto"
"Product Rating","Classificação do Produto"
"Status","Estado"
"Visibility","Visibilidade"
"Nickname","Pseudónimo"
"Summary of Review","Resumo de análise"
"Review","Avaliação"
"Previous","Anterior"
"Save and Previous","Gravar e Regressar"
"Save and Next","Gravar e Avançar"
"Next","Seguinte"
"Delete Review","Apagar Avaliação"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Edit Review '%1'","Editar Comentário '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrador"
"Guest","Convidado"
"Author","Autor"
"Summary Rating","Resumo da Avaliação"
"Detailed Rating","Avaliação detalhada"
"ID","Id."
"Created","Criado"
"Title","Título"
"Type","Tipo"
"SKU","REF"
"Action","Ação"
"Edit","Editar"
"Delete","Eliminar"
"Are you sure?","Tem a certeza?"
"Update Status","Estado da Atualização"
"Customer","Cliente"
"Pending Reviews of Customer `%1`","Avaliações pendentes do cliente '%1'"
"Pending Reviews","Avaliações pendentes"
"All Reviews of Customer `%1`","Todas as avaliações do cliente '%1'"
"All Reviews of Product `%1`","Todas as avaliações do produto '%1'"
"All Reviews","Todas as avaliações"
"Name","Nome"
"Product Store Name","Nome da Loja do Produto"
"Price","Preço"
"Quantity","Quantidade"
"Websites","Sites"
"Manage Ratings","Gerir Classificações"
"Add New Rating","Adicionar nova classificação"
"Save Rating","Guardar classificação"
"Delete Rating","Apagar classificação"
"Edit Rating #%1","Editar classificação #%1"
"New Rating","Nova classificação"
"Rating Title","Título de classificação"
"Default Value","Valor Pré-definido"
"Rating Visibility","Visibilidade da Classificação"
"Is Active","Ativo"
"Sort Order","Ordenação"
"Rating Information","Informação da classificação"
"Product Reviews","Avaliação do Produto"
"Pending product review(s)","Avaliações de produto pendentes"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produto: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Resumo da avaliação: %1 <br/>"
"Review: %1 <br/>","Avaliação: %1 <br/>"
"Store: %1 <br/>","Loja: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Clique <a href=""%1""> aqui</a> para ver a classificação."
"Product: ""%1"" reviewed by: %2","Produto: ""%1"" avaliado por: %2"
"Pending Reviews RSS","RSS de Avaliações Pedentes"
"Reviews %1","Avaliações: %1"
"Reviews","Avaliações"
"The review has been deleted.","A avaliação foi eliminada."
"Something went wrong  deleting this review.","Algo correu mal ao apagar a avaliação."
"Customer Reviews","Avaliações dos Clientes"
"Edit Review","Editar Avaliação"
"We can't retrieve the product ID.","Não foi possível encontrar o ID do produto."
