"Save Review","Uložit recenzi"
"New Review","Nová recenze"
"Review Details","Nastavení recenze"
"Product","Produkt"
"Product Rating","Hodnocení produktu"
"Status","Stav"
"Visibility","Viditelnost"
"Nickname","Přezdívka"
"Summary of Review","Souhrn recenze"
"Review","Recenze"
"Previous","Předchozí"
"Save and Previous","Uložit a předchozí"
"Save and Next","Uložit a další"
"Next","Následující"
"Delete Review","Odstranit recenzi"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Edit Review '%1'","Upravit recenzi '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Správce"
"Guest","Host"
"Author","Autor"
"Summary Rating","Souhrnné hodnocení"
"Detailed Rating","Podrobné hodnocení"
"ID","ID"
"Created","Vytvořeno"
"Title","Název"
"Type","Typ"
"SKU","Kód"
"Action","Akce"
"Edit","Upravit"
"Delete","Smazat"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Update Status","Upravit stav"
"Customer","Zákazník"
"Pending Reviews of Customer `%1`","Nevyřízené recenze zákazníka `%1`"
"Pending Reviews","Nevyřízené recenze"
"All Reviews of Customer `%1`","Všechny recenze zákazníka `%1`"
"All Reviews of Product `%1`","Všechny recenze produktu `%1`"
"All Reviews","Všechny recenze"
"Name","Jméno"
"Product Store Name","Název obchodu produktu"
"Price","Cena"
"Quantity","Množství"
"Websites","Weby"
"Manage Ratings","Správa hodnocení"
"Add New Rating","Přidat nové hodnocení"
"Save Rating","Uložit hodnocení"
"Delete Rating","Odstranit hodnocení"
"Edit Rating #%1","Upravit hodnocení č. %1"
"New Rating","Nové hodnocení"
"Rating Title","Název hodnocení"
"Default Value","Výchozí hodnota"
"Rating Visibility","Viditelnost hodnocení"
"Is Active","Je aktivní"
"Sort Order","Řadit podle"
"Rating Information","Nastavení hodnocení"
"Product Reviews","Recenze produktu"
"Pending product review(s)","Nevyřízené recenze produktu"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produkt: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Souhrn recenze: %1 <br>"
"Review: %1 <br/>","Recenze: %1 <br>"
"Store: %1 <br/>","Obchod: %1 <br>"
"Click <a href=""%1"">here</a> to see the review.","Kliknutím <a href=""%1"">zde</a> recenzi zobrazíte."
"Product: ""%1"" reviewed by: %2","Hodnocení produktu: ""%1"" od: %2"
"Pending Reviews RSS","RSS zdroj nevyřízených recenzí"
"Reviews %1","Recenze %1"
"Reviews","Recenze"
"The review has been deleted.","Recenze byla odstraněna."
"Something went wrong  deleting this review.","Při odstranění recenze nastala chyba."
"Customer Reviews","Recenze zákazníka"
"Edit Review","Upravit recenzi"
"We can't retrieve the product ID.","ID produktu nelze načíst."
"Please select review(s).","Zvolte recenze prosím."
"A total of %1 record(s) have been deleted.","Bylo odstraněno celkem %1 záznam(ů)."
"Something went wrong while deleting these records.","Při odstranění recenzí nastala chyba."
"A total of %1 record(s) have been updated.","Bylo upraveno celkem %1 záznam(ů)."
"Something went wrong while updating these review(s).","Při ukládání recenzí nastala chyba."
"You saved the review.","Recenze byla uložena."
"Something went wrong while saving this review.","Při ukládání recenze nastala chyba."
"The review was removed by another user or does not exist.","Recenze již byla odstraněna jiným uživatelem nebo neexistuje."
"You deleted the rating.","Hodnocení bylo odstraněno."
"Ratings","Hodnocení"
"You saved the rating.","Hodnocení bylo uloženo."
"My Product Reviews","Mé recenze produktů"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Recenze byla odeslána ke schválení."
"We can't post your review right now.","Recenzi momentálně nelze odeslat."
"Storage key was not set","Storage key was not set"
"Approved","Schváleno"
"Pending","Nevyřízená"
"Not Approved","Zamítnuto"
"Please enter a review summary.","Zadejte souhrn recenze prosím."
"Please enter a nickname.","Zadejte jméno/přezdívku prosím."
"Please enter a review.","Zadejte recenzi prosím."
"Rating isn't Available","Hodnocení není dostupné"
"Please specify a rating title for a store, or we'll just use the default value.","Zadejte prosím název hodnocení v obchodě nebo bude použita výchozí hodnota."
"Assigned Options","Přiřazené možnosti"
"Option Title:","Název možnosti:"
"Product Name","Název produktu"
"Rating","Hodnocení"
"Actions","Akce"
"See Details","Zobrazit podrobnosti"
"You have submitted no reviews.","Zatím jste neodeslal(a) žádnou recenzi."
"Back","Zpět"
"My Recent Reviews","Mé nedávné recenze"
"View All","Zobrazit vše"
"Average Customer Rating:","Průměrné hodnocení zákazníků:"
"Your Review","Vaše recenze"
"Submitted on %1","Odesláno %1"
"Back to My Reviews","Zpět k mým recenzím"
"Ratings Review Summary","Souhrn hodnocení"
"Be the first to review this product","Staňte se prvním recenzentem produktu"
"Write Your Own Review","Napište svou recenzi"
"* Required Fields","* Povinný údaj"
"You're reviewing:","Prohlížíte si:"
"Your Rating","Vaše hodnocení"
"%1 %2","%1 %2"
"Summary","Souhrn"
"Submit Review","Odeslat recenzi"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Recenze mohou psát pouze registrovaní zákazníci. <a href=""%1"">Přihláste se</a> nebo <a href=""%2"">registrujte</a> prosím"
"Add Your Review","Napište svou recenzi"
"%1 Review(s)","Recenzí %1"
"Review by","Napsal"
"Posted on","Publikováno dne"
"Back to Main Product Info","Zpět na stránku produktu"
"Average Customer Rating","Průměrné hodnocení zákazníků"
"Product Rating:","Hodnocení produktu:"
"Product Review (submitted on %1):","Recenze produktu (odesláno %1):"
"Back to Product Reviews","Zpět na recenze produktů"
"Please select one of each of the ratings above.","Zvolte jednu možnost z výše uvedených prosím."
"By Customers","Podle zákazníků"
"By Products","Podle produktů"
"Allow Guests to Write Reviews","Umožnit hostům psát recenze"
"Active","Aktivní"
"Inactive","Neaktivní"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
