"Save Review","리뷰 저장"
"New Review","상품평 추가"
"Review Details","Review Details"
"Product","상품"
"Product Rating","Product Rating"
"Status","상태"
"Visibility","가시성"
"Nickname","닉네임"
"Summary of Review","리뷰 제목"
"Review","리뷰"
"Previous","이전"
"Save and Previous","Save and Previous"
"Save and Next","저장 및 다음"
"Next","다음"
"Delete Review","리뷰 삭제"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Edit Review '%1'","후기 편집 '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","비회원"
"Author","Author"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"ID","ID"
"Created","생성됨 "
"Title","타이틀"
"Type","타입"
"SKU","SKU"
"Action","동작"
"Edit","수정"
"Delete","삭제"
"Are you sure?","확실합니까?"
"Update Status","Update Status"
"Customer","고객"
"Pending Reviews of Customer `%1`","보류 중인 고객 리뷰 '%1'"
"Pending Reviews","보류 중인 리뷰"
"All Reviews of Customer `%1`","'%1' 님의 모든 리뷰"
"All Reviews of Product `%1`","상품 '%1' 에 대한 모든 리뷰"
"All Reviews","모든 리뷰"
"Name","이름 "
"Product Store Name","Product Store Name"
"Price","가격"
"Quantity","수량"
"Websites","웹사이트"
"Manage Ratings","Manage Ratings"
"Add New Rating","Add New Rating"
"Save Rating","Save Rating"
"Delete Rating","Delete Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","New Rating"
"Rating Title","Rating Title"
"Default Value","기본값"
"Rating Visibility","Rating Visibility"
"Is Active","Is Active"
"Sort Order","정렬 순서"
"Rating Information","Rating Information"
"Product Reviews","상품 리뷰"
"Pending product review(s)","보류 중인 제품 리뷰"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">
 %2</a>
 <br/>
 "
"Summary of review: %1 <br/>","리뷰 제목: %1 <br/>"
"Review: %1 <br/>","리뷰: %1 <br/>"
"Store: %1 <br/>","스토어: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","<a href=""%1"">
 여기를 클릭</a>
 하여 리뷰를 보세요."
"Product: ""%1"" reviewed by: %2","제품: ""%1""에 대한 리뷰 작성자: %2"
"Pending Reviews RSS","Pending Reviews RSS"
"Reviews %1","리뷰 %1"
"Reviews","리뷰"
"The review has been deleted.","이 리뷰는 삭제되었습니다"
"Something went wrong  deleting this review.","리뷰를 삭제하는 동안 오류가 발생했습니다."
"Customer Reviews","고객 리뷰"
"Edit Review","리뷰 수정"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","리뷰를 선택하세요."
"A total of %1 record(s) have been deleted.","총 %1개의 레코드가 삭제되었습니다."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","총 %1개의 레코드가 업데이트 되었습니다."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","리뷰를 저장하였습니다."
"Something went wrong while saving this review.","리뷰를 저장하는 동안 오류가 발생했습니다."
"The review was removed by another user or does not exist.","이 리뷰는 다른 사용자에 의해 삭제되었거나 존재 하지 않습니다."
"You deleted the rating.","You deleted the rating."
"Ratings","Ratings"
"You saved the rating.","You saved the rating."
"My Product Reviews","상품 리뷰"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","고객님의 리뷰가 접수되었습니다. 관리자의 승인을 기다리고 있습니다."
"We can't post your review right now.","일시적으로 리뷰를 게시할 수 없습니다."
"Storage key was not set","Storage key was not set"
"Approved","Approved"
"Pending","보류 중"
"Not Approved","Not Approved"
"Please enter a review summary.","간략한 제목을 입력하여 주십시오."
"Please enter a nickname.","닉네임을 입력하세요."
"Please enter a review.","리뷰를 입력하십시오."
"Rating isn't Available","Rating isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","상품명"
"Rating","Rating"
"Actions","동작"
"See Details","상세 보기"
"You have submitted no reviews.","작성하신 상품 리뷰가 없습니다."
"Back","이전"
"My Recent Reviews","최근 상품 리뷰"
"View All","모두 보기"
"Average Customer Rating:","Average Customer Rating:"
"Your Review","나의 리뷰"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","상품 리뷰로 돌아가기"
"Ratings Review Summary","Ratings Review Summary"
"Be the first to review this product","제일 먼저 이 제품을 평가해보세요!"
"Write Your Own Review","직접 리뷰를 작성해보세요"
"* Required Fields","* 필수 항목"
"You're reviewing:","이 상품에 관한 리뷰를 작성하고 있습니다:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
"Summary","제목"
"Submit Review","리뷰 제출"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","로그인 후에 후기를 작성할 수 있습니다. <a href=""%1"">
 로그인</a>
 하시거나 <a href=""%2"">
 회원가입</a>
 하세요."
"Add Your Review","새로운 리뷰 추가"
"%1 Review(s)","%1개의 리뷰"
"Review by","리뷰작성자"
"Posted on","Posted on"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Average Customer Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %1):","제품 리뷰 (접수일 %1):"
"Back to Product Reviews","제품 리뷰로 돌아가기"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","By Products"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Active","활성화"
"Inactive","비활성화"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
