"Save Review","Salvesta arvustus"
"New Review","Uus arvustus"
"Review Details","Vaata lähemalt"
"Product","Toode"
"Product Rating","Hinnang tootele"
"Status","Staatus"
"Visibility","Nähtavus"
"Nickname","Hüüdnimi"
"Summary of Review","Summary of Review"
"Review","Review"
"Previous","Eelmine"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Next","Järgmine"
"Delete Review","Kustuta arvustus"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Edit Review '%1'","Edit Review '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Külaline"
"Author","Autor"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"ID","ID"
"Created","Loodud"
"Title","Pealkiri"
"Type","Tüüp"
"SKU","Laokood"
"Action","Toiming"
"Edit","Muuda"
"Delete","Kustuta"
"Are you sure?","Kindel?"
"Update Status","Update Status"
"Customer","Klient"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Ootel arvustused"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Kõik arvustused"
"Name","Nimi"
"Product Store Name","Product Store Name"
"Price","Hind"
"Quantity","Kogus"
"Websites","Veebisaidid"
"Manage Ratings","Halda reitinguid"
"Add New Rating","Lisa uus reiting"
"Save Rating","Salvesta reiting"
"Delete Rating","Kustuta reiting"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Uus reiting"
"Rating Title","Rating Title"
"Default Value","Vaikeväärtus"
"Rating Visibility","Rating Visibility"
"Is Active","Is Active"
"Sort Order","Sorteerimise järjekord"
"Rating Information","Rating Information"
"Product Reviews","Toote arvustused"
"Pending product review(s)","Pending product review(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"Pending Reviews RSS","Ootel arvustuste RSS"
"Reviews %1","%1 arvustust"
"Reviews","Arvustused"
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Kliendi arvustused"
"Edit Review","Edit Review"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been deleted.","Kokku kustutatud %1 kirje(t)."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","Kokku uuendatud %1 kirje(t)."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","You deleted the rating."
"Ratings","Ratings"
"You saved the rating.","You saved the rating."
"My Product Reviews","My Product Reviews"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Olete esitanud arvustuse modereerimiseks."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Storage key was not set"
"Approved","Kinnitatud"
"Pending","Ootel"
"Not Approved","Not Approved"
"Please enter a review summary.","Please enter a review summary."
"Please enter a nickname.","Palun sisestage hüüdnimi."
"Please enter a review.","Please enter a review."
"Rating isn't Available","Rating isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","Toote nimi"
"Rating","Rating"
"Actions","Toimingud"
"See Details","Vaata detaile"
"You have submitted no reviews.","Teil pole ühtegi arvustust."
"Back","Tagasi"
"My Recent Reviews","Minu viimased arvutused"
"View All","Vaata kõiki"
"Average Customer Rating:","Keskmine hinnang:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Tagasi Minu arvustustesse"
"Ratings Review Summary","Ratings Review Summary"
"Be the first to review this product","Ole esimene arvustaja"
"Write Your Own Review","Write Your Own Review"
"* Required Fields","* Kohustuslikud väljad"
"You're reviewing:","Arvustatav toode:"
"Your Rating","Sinu hinnang"
"%1 %2","%1 %2"
"Summary","Kokkuvõte"
"Submit Review","Esita arvustus"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Ainult registreerunud kasutajad saavad arvustada. <a href=""%1"">Logi sisse</a> või <a href=""%2"">registreeru</a>"
"Add Your Review","Lisa arvustus"
"%1 Review(s)","%1 Review(s)"
"Review by","Arvustuse tegija"
"Posted on","Posted on"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Keskmine hinnang"
"Product Rating:","Product Rating:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Back to Product Reviews"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","By Products"
"Allow Guests to Write Reviews","Luba arvustada sisse logimata"
"Active","Aktiivne"
"Inactive","Mitteaktiivne"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
