"Save Review","Lagre anmeldelse"
"New Review","Ny anmeldelse"
"Review Details","Se gjennom detaljene"
"Product","Produkt"
"Product Rating","Produktvurdering"
"Status","Status"
"Visibility","Synlighet"
"Nickname","Kallenavn"
"Summary of Review","Sammendrag av omtale"
"Review","Omtale"
"Previous","Forrige"
"Save and Previous","Lagre og forrige"
"Save and Next","Lagre og neste"
"Next","Neste"
"Delete Review","Delete Review"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Edit Review '%1'","Edit Review '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Gjest"
"Author","Forfatter"
"Summary Rating","Sammendrag rating"
"Detailed Rating","Detailed Rating"
"ID","ID"
"Created","Opprettet"
"Title","Tittel"
"Type","Type"
"SKU","Varenummer"
"Action","Handling"
"Edit","Redigere"
"Delete","Slett"
"Are you sure?","Er du sikker?"
"Update Status","Oppdater status"
"Customer","Kunde"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Pending Reviews"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","Alle produktanmeldelser på produkt '%1'"
"All Reviews","Alle produktanmeldelser"
"Name","Navn"
"Product Store Name","Produkt butikknavn"
"Price","Pris"
"Quantity","Antall"
"Websites","Nettsider"
"Manage Ratings","Manage Ratings"
"Add New Rating","Legg til ny vurdering"
"Save Rating","Lagre vurdering"
"Delete Rating","Delete Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Ny vurdering"
"Rating Title","Rating Title"
"Default Value","Standardverdi"
"Rating Visibility","Rating Visibility"
"Is Active","Is Active"
"Sort Order","Sorteringsrekkefølge"
"Rating Information","Rating Information"
"Product Reviews","Produktomtaler"
"Pending product review(s)","Pending product review(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Sammendrag av omtale: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"Pending Reviews RSS","Pending Reviews RSS"
"Reviews %1","Produktanmeldelser %1"
"Reviews","Produktomtaler"
