"Save Review","Yorumu Kaydet"
"New Review","Yorum Ekle"
"Review Details","Yorum Detayları"
"Product","Ürün"
"Product Rating","Ürün Puanı"
"Status","Durum"
"Visibility","Görünürlük"
"Nickname","Takma Ad"
"Summary of Review","Yorum Özeti"
"Review","Yorum"
"Previous","Önceki"
"Save and Previous","Kaydet ve geri"
"Save and Next","Kaydet ve ileri"
"Next","Sonraki"
"Delete Review","Yorumu Sil"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Edit Review '%1'","'%1' bir daha gözden geçirme düzenleme"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Yönetici"
"Guest","Misafir"
"Author","Yazar"
"Summary Rating","Puan Özeti"
"Detailed Rating","Detaylı Puanlama"
"ID","No"
"Created","Oluşturuldu"
"Title","Başlık"
"Type","Tip"
"SKU","Ürün Kodu"
"Action","Eylem"
"Edit","Düzenle"
"Delete","Sil"
"Are you sure?","Emin misiniz?"
"Update Status","Durumu Güncelle"
"Customer","Müşteri"
"Pending Reviews of Customer `%1`","`%1' Müşterisinin Tüm Yorumları"
"Pending Reviews","Bekleyen yorumlar"
"All Reviews of Customer `%1`","`%1' Müşterisinin Tüm Yorumları"
"All Reviews of Product `%1`","`%1' Ürününün Tüm Yorumları"
"All Reviews","Tüm Yorumlar"
"Name","Adı"
"Product Store Name","Ürün depo adı"
"Price","Fiyat"
"Quantity","Miktar"
"Websites","Websiteleri"
"Manage Ratings","Puanları Yönet"
"Add New Rating","Yeni Puanlama Ekle"
"Save Rating","Puanlamayı Kaydet"
"Delete Rating","Puan Sil"
"Edit Rating #%1","Derecelendirmeyi Düzenle"
"New Rating","Yeni Puanlama"
"Rating Title","Puan Başlığı"
"Default Value","Varsayılan Değer"
"Rating Visibility","Puan Görünümü"
"Is Active","Etkin"
"Sort Order","Sıralama"
"Rating Information","Puan Bilgisi"
"Product Reviews","Ürün Yorumları"
"Pending product review(s)","Bekleyen Ürün Yorumları"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Ürün: <a href=""%1"" target=""_blank"">%2</a><br/>"
"Summary of review: %1 <br/>","İncelemenin özeti: %1 <br/>"
"Review: %1 <br/>","İnceleme: %1 <br/>"
"Store: %1 <br/>","Mağaza: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","İncelemeyi görmek için <a href=""%1"">buraya</a> tıklayın."
"Product: ""%1"" reviewed by: %2","Ürün: ""%1"" tarafından incelendi: %2"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Reviews %1","İncelemeler %1"
"Reviews","Yorumlar"
"The review has been deleted.","İnceleme silindi."
"Something went wrong  deleting this review.","Bu inceleme silinirken bir şeyler ters gitti."
"Customer Reviews","Müşteri Yorumları"
"Edit Review","Yorumu Düzenle"
"We can't retrieve the product ID.","Ürün kimliğini alamıyoruz."
"Please select review(s).","Lütfen yorumları seçiniz."
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt(lar) silindi."
"Something went wrong while deleting these records.","Bu kayıtları silerken bir şeyler ters gitti."
"A total of %1 record(s) have been updated.","Toplam %1 kayıt (lar) güncellendi."
