"Save Review","حفظ المشاهدة"
"New Review","مراجعة جديدة"
"Review Details","تفاصيل المراجعة"
"Product","المنتج"
"Product Rating","تقييم المنتج"
"Status","الحاله"
"Visibility","الظهور"
"Nickname","اللقب"
"Summary of Review","ملخص المراجعة"
"Review","المراجعة"
"Previous","السابق"
"Save and Previous","Save and Previous"
"Save and Next","حفظ ثم التالي"
"Next","التالي"
"Delete Review","حذف مراجعة"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Edit Review '%1'","تعديل التعليق '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","المدير"
"Guest","زائر"
"Author","المؤلف"
"Summary Rating","تقييم الملخص"
"Detailed Rating","التقييم المفصل"
"ID","التعريف"
"Created","إنشاء"
"Title","العنوان"
"Type","النوع"
"SKU","رمز المنتج"
"Action","إجراء"
"Edit","تعديل"
"Delete","احذف"
"Are you sure?","هل أنت متأكد؟"
"Update Status","Update Status"
"Customer","زبون"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","مراجعة تنتظر المراجعة"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","كل التقييمات والآراء"
"Name","اسم"
"Product Store Name","Product Store Name"
"Price","السعر"
"Quantity","الكمية"
"Websites","الموقع"
"Manage Ratings","ادارة التقديرات"
"Add New Rating","اضف تقييما جديدا"
"Save Rating","احفظ التقييم"
"Delete Rating","احذف تقييما"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","تقيما جديدا"
"Rating Title","عنوان التقييم"
"Default Value","القيمة الاعتيادية"
"Rating Visibility","تصنيف الرؤية"
"Is Active","نشط"
"Sort Order","الترتيب"
"Rating Information","معلومات التقييم"
"Product Reviews","مراجعات المنتج"
"Pending product review(s)","مراجعات تنتظر المراجعة"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","المنتج: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","ملخص للمراجعة: %1 <br/>"
"Review: %1 <br/>","استعراض: %1 <br/>"
"Store: %1 <br/>","المتجر: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","المنتج: ""%1"" مراجع بواسطة: %2"
"Pending Reviews RSS","RSS التقييمات والآراء المعلقة"
"Reviews %1","Reviews %1"
"Reviews","مراجعات"
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","مراجعات العميل"
"Edit Review","Edit Review"
"We can't retrieve the product ID.","لا يمكننا استرداد معرف المنتج."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been deleted.","عدد %1 سجلات تم حذفها."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","عدد %1 سجلات تم تحديثها."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","You deleted the rating."
"Ratings","Ratings"
"You saved the rating.","You saved the rating."
"My Product Reviews","مراجعاتي"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","تم إرسال مراجعتك، سيتم نشرها قريبا."
"We can't post your review right now.","لا يمكن أن نقوم بنشر تقيبمك الخاص بك الآن."
"Storage key was not set","Storage key was not set"
"Approved","وافق"
"Pending","في إنتظار المُراجعة"
"Not Approved","Not Approved"
"Please enter a review summary.","Please enter a review summary."
"Please enter a nickname.","Please enter a nickname."
"Please enter a review.","Please enter a review."
