"Save Review","Desar ressenya"
"New Review","Nova ressenya"
"Review Details","Revisar detalls"
"Product","Producte"
"Product Rating","Product Rating"
"Status","Status"
"Visibility","Visibility"
"Nickname","Sobrenom (àlies)"
"Summary of Review","Resum de la ressenya"
"Review","Revisar"
"Previous","Anterior"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Next","Next"
"Delete Review","Eliminar ressenya"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Edit Review '%1'","Modificar ressenya '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Convidat"
"Author","Author"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"ID","ID"
"Created","Created"
"Title","Title"
"Type","Type"
"SKU","SKU"
"Action","Acció"
"Edit","Edita"
"Delete","Delete"
"Are you sure?","Segur?"
"Update Status","Update Status"
"Customer","Client"
"Pending Reviews of Customer `%1`","Ressenyes pendents del client `%1`"
"Pending Reviews","Ressenyes pendents"
"All Reviews of Customer `%1`","Totes les ressenyes del client `%1`"
"All Reviews of Product `%1`","Totes les ressenyes del producte `%1`"
"All Reviews","Totes les ressenyes"
"Name","Name"
"Product Store Name","Product Store Name"
"Price","Preu"
"Quantity","Quantitat"
"Websites","Websites"
"Manage Ratings","Manage Ratings"
"Add New Rating","Add New Rating"
"Save Rating","Save Rating"
"Delete Rating","Delete Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","New Rating"
"Rating Title","Rating Title"
"Default Value","Default Value"
"Rating Visibility","Rating Visibility"
"Is Active","Is Active"
"Sort Order","Sort Order"
"Rating Information","Rating Information"
"Product Reviews","Ressenyes de producte"
"Pending product review(s)","Ressenyes pendents del producte"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Resum de la ressenya: %1<br/>"
"Review: %1 <br/>","Ressenya: %1<br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Feu clic <a href=""%1"">aquí</a> per veure la ressenya."
"Product: ""%1"" reviewed by: %2","Producte: ""%1"" valorat per: %2"
"Pending Reviews RSS","Ressenyes pendents RSS"
"Reviews %1","Ressenyes %1"
"Reviews","Ressenyes"
"The review has been deleted.","S'ha eliminat la ressenya."
