"Save Review","Review opslaan"
"New Review","Nieuwe review"
"Review Details","Review details"
"Product","Product"
"Product Rating","Productwaardering"
"Status","status"
"Visibility","Zichtbaarheid"
"Nickname","Uw naam"
"Summary of Review","Titel van review"
"Review","Review"
"Previous","Vorige"
"Save and Previous","Opslaan en vorige"
"Save and Next","Opslaan en volgende"
"Next","Volgende"
"Delete Review","Review verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Edit Review '%1'","Beoordeling '%1' bewerken"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","Administrator"
"Guest","Bezoeker"
"Author","Auteur"
"Summary Rating","Samenvatting waardering"
"Detailed Rating","Gedetailleerde waardering"
"ID","ID"
"Created","Aangemaakt"
"Title","Titel"
"Type","Soort"
"SKU","Art.nr."
"Action","Actie"
"Edit","Bewerken"
"Delete","Verwijder"
"Are you sure?","Weet je het zeker?"
"Update Status","Status bijwerken"
"Customer","Klant"
"Pending Reviews of Customer `%1`","Pending reviews van klanten '%1'"
"Pending Reviews","Te beoordelen reviews"
"All Reviews of Customer `%1`","Alle reviews van klant '%1'"
"All Reviews of Product `%1`","Alle reviews van Product '%1'"
"All Reviews","Alle reviews"
"Name","Naam"
"Product Store Name","Product winkelnaam"
"Price","prijs"
"Quantity","Aantal"
"Websites","Websites"
"Manage Ratings","Beheer waarderingen"
"Add New Rating","Nieuwe waardering toevoegen"
"Save Rating","Waardering opslaan"
"Delete Rating","Verwijder waardering"
"Edit Rating #%1","Waarderingv #%1 bewerken"
"New Rating","Nieuwe waardering"
"Rating Title","Titel waarding"
"Default Value","Standaardwaarde"
"Rating Visibility","Zichtbaarheid scores"
"Is Active","Is actief"
"Sort Order","Sorteervolgorde"
"Rating Information","Informatie waardering"
"Product Reviews","Productreviews"
"Pending product review(s)","Te beoordelen productreview(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Samenvatting van review: %1<br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Winkel: %s<br />"
"Click <a href=""%1"">here</a> to see the review.","<a href=""%1"">Bekijk review</a>."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" gereviewd door: %2"
"Pending Reviews RSS","RSS van wachtende reviews"
"Reviews %1","Reviews %1"
"Reviews","Reviews"
"The review has been deleted.","De review is verwijderd."
"Something went wrong  deleting this review.","Er ging iets mis bij het verwijderen van deze review."
"Customer Reviews","Klantenreviews"
"Edit Review","Bewerk review"
"We can't retrieve the product ID.","We kunnen het product-ID niet ophalen."
"Please select review(s).","Selecteer review(en)."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"Something went wrong while deleting these records.","Er ging iets mis tijdens het verwijderen van deze records."
