"Save Review","Spara utvärdering"
"New Review","Ny Recension"
"Review Details","Granska Detaljer"
"Product","Produkt"
"Product Rating","Produktbetyg"
"Status","Status"
"Visibility","Synlighet"
"Nickname","Smeknamn"
"Summary of Review","Sammanfattning av recension"
"Review","Recension"
"Previous","Föregående"
"Save and Previous","Spara och tidigare"
"Save and Next","Spara och nästa"
"Next","Nästa"
"Delete Review","Ta bort recension"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Edit Review '%1'","Redigera recension '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administratör"
"Guest","Gäst"
"Author","Författare"
"Summary Rating","Sammanfattande värdering"
"Detailed Rating","Detaljerad betygsättning"
"ID","ID"
"Created","Skapad"
"Title","Titel"
"Type","Typ"
"SKU","Art.nr"
"Action","Åtgärd"
"Edit","Redigera"
"Delete","Ta bort"
"Are you sure?","Är du säker?"
"Update Status","Update Status"
"Customer","Kund"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Pending Reviews"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","All Reviews"
"Name","Namn"
"Product Store Name","Product Store Name"
"Price","Pris"
"Quantity","Antal"
"Websites","Webbplatser"
"Manage Ratings","Manage Ratings"
"Add New Rating","Add New Rating"
"Save Rating","Save Rating"
"Delete Rating","Delete Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nytt betyg"
"Rating Title","Rating Title"
"Default Value","Standardvärde"
"Rating Visibility","Rating Visibility"
"Is Active","Är aktiv"
"Sort Order","Sorteringsordning"
"Rating Information","Rating Information"
"Product Reviews","Produktrecensioner"
"Pending product review(s)","Pending product review(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"Pending Reviews RSS","Pending Reviews RSS"
"Reviews %1","Recensioner %1"
"Reviews","Recensioner"
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Kundrecensioner"
"Edit Review","Edit Review"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been deleted.","Totalt %1 uppgift(er) har blivit borttagna."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","Ett total av %1 uppgift(er) har blivit uppdaterade."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","You deleted the rating."
"Ratings","Betyg"
"You saved the rating.","You saved the rating."
"My Product Reviews","Mina Produktrecensioner"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Storage key was not set"
"Approved","Approved"
"Pending","Väntar"
"Not Approved","Not Approved"
"Please enter a review summary.","Please enter a review summary."
"Please enter a nickname.","Please enter a nickname."
"Please enter a review.","Please enter a review."
"Rating isn't Available","Rating isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","Produktnamn"
"Rating","Betyg"
"Actions","Åtgärder"
"See Details","Se detaljer"
"You have submitted no reviews.","Du har inte skickat några recensioner."
"Back","Tillbaka"
"My Recent Reviews","Mina senaste omdömen"
"View All","Visa alla"
"Average Customer Rating:","Genomsnittlingt kundbetyg:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Back to My Reviews"
"Ratings Review Summary","Ratings Review Summary"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Write Your Own Review","Write Your Own Review"
"* Required Fields","* Obligatoriska fält"
"You're reviewing:","Du recenserar:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
"Summary","Översikt"
"Submit Review","Skicka recension"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Add Your Review","Skriv en egen recension"
"%1 Review(s)","%1 recension(er)"
"Review by","Recension av"
"Posted on","Publicerad"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Genomsnittlingt kundbetyg"
"Product Rating:","Product Rating:"
"Product Review (submitted on %1):","Produktrecension (publicerad %1):"
"Back to Product Reviews","Back to Product Reviews"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","By Products"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Active","Aktiv"
"Inactive","Inaktiv"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
