"Save Review","Salvează Recenzie"
"New Review","Recenzie nouă"
"Review Details","Detalii Recenzie"
"Product","Proodus"
"Product Rating","RatingProdus"
"Status","Statut"
"Visibility","Vizibilitate"
"Nickname","Nickname"
"Summary of Review","Cuprins Recenzie"
"Review","Recenzie"
"Previous","Anterior"
"Save and Previous","Salvați și reveniți"
"Save and Next","Salvați și mergeți mai departe"
"Next","Următorul"
"Delete Review","șterge recenzie"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Edit Review '%1'","Editare recenzie'%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Vizitator"
"Author","Autor"
"Summary Rating","Cuprins Rating"
"Detailed Rating","Rating Detaliat"
"ID","ID"
"Created","Creat"
"Title","Titlu"
"Type","Tip"
"SKU","Cod"
"Action","Acțiune"
"Edit","Editați"
"Delete","șterge"
"Are you sure?","Sunteți sigur?"
"Update Status","Actualizare Status"
"Customer","Utilizator"
"Pending Reviews of Customer `%1`","Recenzii în așteptare ale clientului`%1`"
"Pending Reviews","Recenzii în așteptare"
"All Reviews of Customer `%1`","Toate recenziile clientului `%1`"
"All Reviews of Product `%1`","Toate recenziile produsului `%1`"
"All Reviews","Toate recenziile"
"Name","Numeric"
"Product Store Name","Nume magazin produs"
"Price","Preț"
"Quantity","Cantitate"
"Websites","Website-uri"
"Manage Ratings","Gestionare Rating-uri"
"Add New Rating","Adăugați Rating nou"
"Save Rating","Salvare Rating"
"Delete Rating","ștergere Rating"
"Edit Rating #%1","Editare Rating #%1"
"New Rating","Rating nou"
"Rating Title","Titlu Rating"
"Default Value","Valoare implicită"
"Rating Visibility","Vizibilitate Rating"
"Is Active","Este Activ"
"Sort Order","sortați comanda"
"Rating Information","Informații Rating"
"Product Reviews","Recenzii Produs"
"Pending product review(s)","Recenzii produs în așteptare"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produsul: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Cuprins recenzie: %1 <br/>"
"Review: %1 <br/>","Recenzie: %1 <br/>"
"Store: %1 <br/>","Magazin: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Faceți click <a href=""%1"">aici</a> pentru a vedea rcenzia."
"Product: ""%1"" reviewed by: %2","Produs: ""%1"" recenzat de: %2"
"Pending Reviews RSS","RSS Recenzii produs"
"Reviews %1","Recenzii %1"
"Reviews","Comentarii"
"The review has been deleted.","Recenzia a fost ștearsă."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Recenzii"
"Edit Review","Editare recenzie"
"We can't retrieve the product ID.","Nu se poate recupera ID-ul produsului."
"Please select review(s).","Selectați recenzii."
"A total of %1 record(s) have been deleted.","Un total de %1 registre au fost șterse."
"Something went wrong while deleting these records.","A avut loc o eroare la ștergerea acestor registre."
"A total of %1 record(s) have been updated.","Un total de %1 registre au fost actualizate."
"Something went wrong while updating these review(s).","A avut loc o eroare la actualizarea acestor recenzii."
"You saved the review.","Ați salvat recenzia."
"Something went wrong while saving this review.","A avut loc o eroare la salvarea acestei recenzii."
"The review was removed by another user or does not exist.","Recenzia a fost ștearsă de către un alt utilizator sau nu există."
"You deleted the rating.","Ați șters rating-ul."
"Ratings","Rating-uri"
"You saved the rating.","Ați salvat rating-ul."
"My Product Reviews","Recenziile Produsului Meu"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Ați trimis o recenzie pentru verificare."
"We can't post your review right now.","Nu putem afișa recenzia dumneavoastră momentan."
"Storage key was not set","Storage key was not set"
"Approved","Aprobat"
"Pending","în așteptare"
"Not Approved","Neaprobat"
"Please enter a review summary.","Introduceți un cuprins al recenziei"
"Please enter a nickname.","Introduceți un nickname."
"Please enter a review.","Introduceți o revizuire."
"Rating isn't Available","Rating-ul nu este disponibil"
"Please specify a rating title for a store, or we'll just use the default value.","Specificați un titlu de rating pentru un magazin sau vom folosi valoarea implicită."
"Assigned Options","Opțiuni atribuite"
"Option Title:","Titlu Opțiuni:"
"Product Name","Numele produsului"
"Rating","Rating"
"Actions","Actiuni"
"See Details","Vizualizare detalii"
"You have submitted no reviews.","Nu ați trimis nici o recenzie."
"Back","Înapoi"
"My Recent Reviews","Recenziile Mele Recente"
"View All","Vizualizează tot"
"Average Customer Rating:","Rating Mediu Client:"
"Your Review","Recenzia dumneavoastră"
"Submitted on %1","Trimis la %1"
"Back to My Reviews","înapoi la Recenziile Mele"
"Ratings Review Summary","Rating-uri cuprins recenzii"
"Be the first to review this product","Scrieți o recenzie"
"Write Your Own Review","Scrie o recenzie"
"* Required Fields","* Campuri obligatorii"
"You're reviewing:","Spune-ne parerea ta despre acest produs"
"Your Rating","Rating-ul dumneavoastră"
"%1 %2","%1 %2"
"Summary","Titlul recenziei"
"Submit Review","trimite "
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Doar utilizatorii înregistrați pot scrie recenzii. Vă rugăm să vă <a href=""%1"">autentificați</a> sau să vă <a href=""%2"">creați un cont</a>"
